Product-Price,Product-Model,Product-Number,Product-Category,Product-Name,Product-Descriptions
$27.99,42150-US/266262,901-266262,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Staples Hanging File Folder 5-Tab Letter Size Standard Green 50/Box (TR266262),Comes in standard green and is made of 12.5-point paper stock with 144# basis weight for durabilityFive assorted-position top tabs offer ample space for labeling to keep your files organizedFile folder tabs are detachable; tear-resistant 

$19.99,18654-US-CC,901-813110STP,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Staples Reinforced Hanging File Folders 5-Tab Letter Size Blue/Green/Red/Orange/Yellow 25/Box (TR18654),Colorful hanging file folders made of tear-resistant material in blue, green, red, orange, and yellow with durable coated hooksFive top-position tabs allow you to customize your filesFile folder tabs are detachable 

$15.49,7Q5215,901-7Q5215,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Quill Brand®100% Recycled Hanging File Folders 1/5-Cut Letter Size Green 25/Box (7Q5215),Standard dark green 11 pt. stock1/5-cutLetter size 

$23.99,6153 1/5,901-615315,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Pendaflex SureHook Hanging File Folders Legal Size Standard Green 20/Box (PFX 6153 1/5),Folders are made of green paper stockPoly-reinforced top edge and bottom fold provide added durabilityFive tab positions allow you to customize your files 

$22.79,64053,901-64053QL,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Smead FasTab Hanging File Folders 1/3 Cut Letter Size Multicolor 18/Box (64053),Assorted colors in durable 11-point stockPlastic tabs on either end of each file work with heavy-duty plastic rods for sturdinessAccommodates letter sized papers and files 

$16.49,422,901-521252,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Staples Hanging File Folder Legal Size Standard Green 25/Box (TR521252),Comes in standard green color and is made of 12.5-point paper stock with 144# basis weight for durabilityLegal-size folder for holding oversize documents without folding25 folders per box 

$30.99,42553,901-415215AD2,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Pendaflex Reinforced Hanging File Folders 1/5 Tab Letter Size Assorted Jeweltone Colors 25/Box (PFX 4152 1/5 ASST2),Durable paper stock hanging folders in assorted jewel-tone colors for general or color-coded filingPoly-reinforced top edge and bottom fold provide added durabilityFive tab positions allow you to customize your files 

$35.99,745315,901-745315,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Quill Brand®100% Recycled Hanging File Folders 1/5-Cut Legal Size Green 50/Box (745315),Standard green 11 pt. stock1/5-cutMetal hanging rods have a tough coating that can't chip so folders glide smoothly on rails 

$18.59,7Q5213,901-7Q5213,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Quill Brand® 100% Recycled 3-Tab Hanging File Folders Letter Size Green 25/Box (7Q5213),Standard green 11 pt. stock1/3-cutLetter size 

$25.99,6152 1/5 ASST,901-615215AD,Office Supplies > Folders & Filing > Filing Folders > Hanging File Folders,Pendaflex SureHook 5-Tab Hanging File Folders Letter Size Multicolor 20/Box (6152 1/5 ASST),11-point stock in five colors, including blue, red, yellow, bright green and orangeBuilt-in tension springs and longer hooks for durability and securityDimensions: 13" x 9.56" x 2.81" 
